,Age,Passenger Class,Sex,No of Siblings or Spouses on Board,No of Parents or Children on Board,Passenger Fare,Survived
0,29.0,0,0,0,0,211.3375,Yes
1,2.0,0,0,1,2,151.55,No
2,30.0,0,1,1,2,151.55,No
3,25.0,0,0,1,2,151.55,No
4,48.0,0,1,0,0,26.55,Yes
5,63.0,0,0,1,0,77.9583,Yes
6,39.0,0,1,0,0,0.0,No
7,18.0,0,0,1,0,227.525,Yes
8,26.0,0,0,0,0,78.85,Yes
9,80.0,0,1,0,0,30.0,Yes
10,29.8811345124283,0,1,0,0,25.925,No
11,24.0,0,1,0,1,247.5208,No
12,50.0,0,0,0,1,247.5208,Yes
13,32.0,0,0,0,0,76.2917,Yes
14,36.0,0,1,0,0,75.2417,No
15,37.0,0,1,1,1,52.5542,Yes
16,26.0,0,1,0,0,30.0,Yes
17,42.0,0,0,0,0,227.525,Yes
18,29.0,0,0,0,0,221.7792,Yes
19,25.0,0,1,1,0,91.0792,Yes
20,19.0,0,0,1,0,91.0792,Yes
21,35.0,0,0,0,0,135.6333,Yes
22,28.0,0,1,0,0,26.55,Yes
23,45.0,0,1,0,0,35.5,No
24,40.0,0,1,0,0,31.0,Yes
25,30.0,0,0,0,0,164.8667,Yes
26,58.0,0,0,0,0,26.55,Yes
27,42.0,0,1,0,0,26.55,No
28,22.0,0,0,0,1,55.0,Yes
29,29.8811345124283,0,1,0,0,26.55,Yes
30,41.0,0,1,0,0,30.5,No
31,48.0,0,1,0,0,50.4958,No
32,29.8811345124283,0,1,0,0,39.6,No
33,59.0,0,0,2,0,51.4792,Yes
34,60.0,0,0,0,0,76.2917,Yes
35,29.8811345124283,0,1,0,0,31.0,No
36,42.0,0,1,0,0,26.2875,Yes
37,53.0,0,0,0,0,27.4458,Yes
38,36.0,0,1,0,1,512.3292,Yes
39,28.0,0,1,0,0,47.1,No
40,17.0,0,1,0,0,47.1,No
41,11.0,0,1,1,2,120.0,Yes
42,36.0,0,1,1,2,120.0,Yes
43,36.0,0,0,1,2,120.0,Yes
44,49.0,0,1,0,0,26.0,No
45,36.0,0,1,1,0,78.85,No
46,76.0,0,0,1,0,78.85,Yes
47,46.0,0,1,1,0,61.175,No
48,47.0,0,0,1,0,61.175,Yes
49,27.0,0,1,1,0,53.1,Yes
50,36.0,0,0,0,0,262.375,Yes
51,30.0,0,0,0,0,86.5,Yes
